"sales0","sales1","sales2","sales3","sales4","country","State","CouSub","population","store","store_Type_SupermarketType3","store_Type_GroceryStore","store_Type_SupermarketType1"
850,616,710,1130,1213,189,47,99999,113993,"1",0,1,0
1144,732,918,1425,1655,3,9,37140,2114,"1",0,0,1
672,400,504,928,932,11,17,99999,34978,"0",0,0,1
679,481,502,1001,1004,299,48,99999,19301,"1",0,0,1
628,461,464,804,1014,35,54,99999,29211,"1",0,1,0
643,428,499,918,936,125,27,99999,4089,"0",0,1,0
689,515,547,930,1204,17,23,33315,1620,"1",0,0,1
766,518,599,961,1024,11,23,62190,2598,"0",0,0,0
711,481,565,1000,1177,87,46,99999,5618,"1",1,0,0
764,502,603,1023,1057,103,39,99999,172332,"0",0,0,0
921,607,728,1229,1484,139,48,99999,149610,"1",0,0,1
839,550,708,1045,1178,3,25,53960,44737,"1",0,0,1
558,419,471,804,988,159,21,99999,12929,"0",0,1,0
979,582,724,1231,1541,9,44,50500,1051,"1",1,0,0
998,718,819,1352,1375,19,33,78980,1123,"0",0,1,0
608,452,455,825,1077,1,45,99999,25417,"0",1,0,0
611,415,515,772,940,33,47,99999,14586,"1",0,0,1
757,538,568,977,1241,45,49,99999,58218,"1",0,1,0
1156,723,893,1696,1967,39,8,99999,23086,"1",0,0,1
1133,862,867,1446,1531,23,25,39450,6045,"1",0,0,1
643,469,475,801,1019,59,30,99999,1891,"0",0,0,1
586,430,433,808,1038,257,13,99999,26175,"1",0,0,0
816,533,633,1063,1206,99,29,99999,218733,"1",0,0,1
689,515,547,930,1204,17,23,58270,1541,"0",0,0,1
794,559,670,1081,1150,27,23,66635,2615,"0",0,0,1
950,648,767,1192,1443,75,22,99999,23042,"1",0,1,0
709,573,598,946,1134,7,33,4260,0,"0",1,0,0
746,559,611,955,1100,9,51,99999,32353,"1",0,0,1
599,481,505,883,1061,99,1,99999,23068,"0",0,1,0
643,472,475,804,875,99,8,99999,12551,"0",1,0,0
620,422,523,914,1002,61,28,99999,17062,"0",0,1,0
679,548,564,860,942,3,23,53602,10,"0",0,0,1
1156,814,959,1440,1546,3,10,99999,538479,"1",0,0,1
581,395,477,840,843,29,47,99999,35662,"0",0,0,1
846,510,648,1128,1233,163,26,99999,1820584,"1",0,0,1
737,538,568,1027,1168,103,30,99999,718,"0",0,0,1
1064,718,837,1458,1521,15,33,33460,2236,"1",0,0,1
644,434,482,802,861,85,31,99999,967,"1",0,1,0
634,412,535,934,937,49,20,99999,2882,"0",0,0,1
749,577,632,933,1001,31,35,99999,71492,"0",0,0,0
924,724,767,1154,1322,11,33,4900,1476,"1",1,0,0
801,513,634,1057,1402,790,51,99999,23746,"0",0,0,1
558,419,471,822,988,51,21,99999,21730,"0",0,0,1
1494,1071,1196,1861,2023,17,25,40115,26983,"1",0,0,1
643,519,542,919,922,15,18,99999,20155,"1",0,0,1
1064,718,837,1458,1521,17,33,65540,2527,"1",0,0,1
832,614,702,1137,1267,157,47,99999,927644,"1",0,0,1
927,678,732,1199,1461,11,25,5560,2129,"0",0,0,0
783,494,601,1062,1183,113,40,99999,47472,"1",0,0,1
558,419,442,695,782,63,21,99999,7852,"0",0,1,0
788,628,663,1084,1288,101,1,99999,229363,"1",0,0,1
1001,639,801,1320,1575,13,33,19460,2758,"0",1,0,0
636,378,470,825,1006,31,29,99999,75674,"1",0,0,1
761,559,562,948,1346,115,13,99999,96317,"1",0,0,1
836,675,705,1059,1291,3,25,73335,538,"0",0,1,0
728,483,560,1001,1005,75,26,99999,160248,"1",0,0,1
655,529,552,845,875,109,42,99999,39702,"0",0,0,1
850,616,710,1130,1213,149,47,99999,262604,"0",0,0,1
679,548,564,860,942,3,23,42520,4035,"0",0,0,1
663,453,490,826,950,145,37,99999,39464,"1",0,0,1
599,440,443,808,811,45,47,99999,38335,"0",0,0,1
1144,732,918,1425,1655,3,9,12270,10292,"1",0,0,1
634,474,477,931,934,139,39,99999,124475,"1",0,0,1
894,532,747,1113,1583,17,50,48175,2216,"0",0,0,0
927,678,732,1199,1461,11,25,2095,1737,"1",0,0,1
711,515,576,978,1033,89,1,99999,334811,"1",0,0,1
1583,1027,1170,1973,2497,1,9,68310,3581,"1",0,0,1
671,493,496,943,1037,211,29,99999,6714,"0",0,0,1
679,548,564,860,942,3,23,79865,546,"0",0,0,1
816,531,688,1058,1445,27,25,53225,1682,"1",0,0,0
794,559,670,1081,1150,27,23,39755,2164,"0",1,0,0
805,642,679,1003,1226,5,50,54400,732,"0",0,0,1
894,532,747,1113,1583,17,50,25675,977,"1",0,0,1
709,573,598,883,1256,7,23,37025,997,"0",0,0,1
762,616,637,954,1033,19,50,35575,1163,"0",0,0,1
683,470,505,879,1132,139,47,99999,16825,"1",0,0,1
1494,1071,1196,1861,2023,9,25,38400,19808,"0",0,1,0
783,504,625,1055,1059,83,12,99999,331298,"1",0,1,0
1207,765,964,1779,2115,95,6,99999,413344,"1",0,0,1
976,623,736,1216,1678,240,2,99999,7029,"0",0,1,0
586,437,440,853,1030,69,13,99999,42356,"0",0,0,1
718,543,547,964,968,143,48,99999,37890,"1",0,1,0
627,460,463,898,935,123,22,99999,11604,"1",0,0,0
694,533,544,897,1060,169,20,99999,55606,"0",0,0,1
866,636,640,1139,1534,29,24,99999,20197,"0",0,1,0
1194,857,1007,1487,1724,230,2,99999,968,"0",0,0,1
643,411,520,948,1122,7,26,99999,29598,"0",0,1,0
607,409,455,756,830,75,31,99999,614,"0",0,0,1
681,520,572,868,1053,29,23,13820,560,"0",0,1,0
1234,825,920,1614,1695,1,25,59735,20675,"1",0,0,1
781,525,599,1035,1122,221,21,99999,14339,"1",1,0,0
835,613,617,1230,1343,15,6,99999,28610,"0",0,0,0
626,456,507,813,998,11,19,99999,26076,"1",0,0,1
924,616,739,1154,1314,15,25,72880,9872,"1",0,0,1
1057,716,805,1353,1560,11,9,43230,4338,"1",0,0,1
558,416,419,790,988,183,21,99999,23842,"0",0,0,1
1328,936,1017,1663,1953,11,50,59125,2308,"1",0,0,1
643,417,532,913,916,67,42,99999,24636,"0",0,1,0
699,516,519,871,986,31,54,99999,14025,"0",0,1,0
657,469,531,866,915,155,39,99999,210312,"1",0,0,1
643,428,475,801,985,73,27,99999,7259,"0",0,0,1
728,541,610,990,1226,37,45,99999,26985,"1",0,0,1
1064,718,837,1458,1521,15,33,39780,2124,"1",0,0,1
891,559,719,1221,1360,95,29,99999,674158,"1",0,0,1
794,559,670,1081,1150,27,23,61210,709,"1",0,0,0
846,510,648,1128,1233,87,26,99999,88319,"0",0,0,0
746,599,627,1015,1019,25,23,32895,73,"0",0,0,1
1269,932,1053,1659,1919,21,34,99999,366513,"1",0,0,1
695,488,586,960,1049,79,13,99999,12630,"1",0,0,1
634,412,529,790,847,163,20,99999,5181,"1",0,1,0
643,468,542,948,1131,49,6,99999,9686,"1",0,0,1
679,548,564,860,942,3,23,19210,213,"0",0,0,1
604,399,446,820,927,195,29,99999,23370,"0",1,0,0
808,653,673,1039,1107,131,28,99999,17786,"1",1,0,0
983,788,793,1247,1560,23,50,46000,7855,"0",0,0,1
940,759,791,1217,1615,15,45,99999,177843,"1",0,0,1
974,787,822,1435,1440,113,51,99999,13308,"0",0,0,1
643,469,542,801,1019,37,30,99999,884,"0",1,0,0
1494,1071,1196,1861,2023,21,25,78865,53743,"1",0,0,1
640,468,473,941,944,101,46,99999,6486,"0",0,0,1
634,412,469,790,847,119,20,99999,4575,"0",0,0,1
1198,879,885,1550,1970,37,8,99999,52197,"0",0,0,1
821,527,615,1139,1221,235,48,99999,1599,"1",0,0,1
653,479,483,962,966,53,38,99999,6360,"0",0,0,1
916,708,773,1213,1474,121,13,99999,920581,"1",0,0,1
657,491,554,852,900,21,23,5560,98,"0",0,1,0
643,472,475,948,1124,87,16,99999,10198,"0",0,0,1
638,380,519,843,1035,87,39,99999,62450,"1",0,1,0
593,402,445,739,792,35,19,99999,12072,"0",0,0,1
922,743,748,1182,1232,13,23,72585,1558,"0",1,0,0
883,676,695,1180,1534,1,12,99999,247336,"0",0,0,1
713,523,527,888,953,45,22,99999,73240,"0",0,0,1
1064,718,837,1458,1521,15,33,31700,3549,"1",0,0,1
626,506,521,920,923,237,13,99999,21218,"1",0,0,0
847,504,672,1055,1132,15,23,79550,5075,"0",0,1,0
660,429,557,925,960,19,20,99999,3669,"0",0,0,0
763,500,639,1103,1351,23,49,99999,10246,"1",0,1,0
581,465,468,795,798,53,47,99999,49683,"1",0,0,0
604,395,505,890,997,79,29,99999,10261,"0",0,0,1
1494,1071,1196,1861,2023,15,33,68260,8693,"1",0,0,1
643,469,529,903,1019,11,30,99999,1160,"0",0,0,1
604,399,509,831,1070,223,29,99999,13521,"0",0,0,1
598,483,504,881,1059,137,13,99999,43041,"0",0,0,1
754,489,557,1100,1312,49,27,99999,46183,"0",0,0,1
657,491,554,852,900,21,23,100,714,"0",0,0,1
643,454,539,937,941,17,30,99999,11699,"0",0,0,1
643,469,505,875,1067,189,48,99999,36273,"1",0,0,1
666,448,562,932,1077,19,23,12105,1409,"1",0,0,0
643,383,475,801,859,89,8,99999,18831,"0",0,0,1
1074,730,869,1421,1492,31,23,39405,3713,"1",1,0,0
815,498,629,1193,1311,45,20,99999,110826,"1",0,0,1
1159,782,888,1558,1809,11,33,37140,7684,"1",0,1,0
643,455,475,842,1139,387,48,99999,12860,"1",0,0,1
1481,1196,1249,1904,2134,47,36,99999,2504700,"1",0,0,1
684,553,563,852,1211,125,19,99999,33309,"0",0,0,1
584,347,432,727,814,83,5,99999,22353,"0",0,0,0
1043,760,802,1299,1394,5,25,16950,7086,"1",1,0,0
681,520,572,868,1053,29,23,2480,1521,"1",0,0,1
606,460,511,893,1073,3,49,99999,49975,"0",0,0,1
689,515,547,930,1204,17,23,8150,1597,"0",1,0,0
634,412,469,860,1123,205,20,99999,9409,"0",0,0,1
656,462,533,879,1007,9,54,99999,24069,"1",0,0,1
677,498,571,843,1182,678,51,99999,7042,"0",0,1,0
915,657,741,1348,1353,100,2,99999,2508,"0",0,0,1
643,466,542,947,1052,19,53,99999,7551,"0",0,0,0
925,717,780,1283,1550,1,50,40075,1271,"1",0,1,0
1494,1071,1196,1861,2023,17,25,73790,12994,"1",0,0,0
940,759,791,1217,1615,19,45,99999,350209,"1",0,0,1
935,557,719,1140,1270,3,50,85075,769,"0",0,0,1
666,448,562,932,1077,19,23,74055,1202,"1",0,0,0
752,607,634,1014,1025,77,54,99999,33520,"1",0,0,1
631,419,532,786,927,25,17,99999,13815,"0",0,0,1
762,616,637,954,1033,19,50,13150,1023,"0",0,0,1
1151,749,945,1552,1943,1,15,99999,185079,"0",0,0,1
643,499,502,870,874,37,51,99999,12586,"0",0,1,0
643,519,533,948,1066,79,12,99999,19224,"0",1,0,0
924,616,739,1154,1314,13,25,30840,39880,"1",0,0,1
666,448,562,932,1077,19,23,73250,409,"1",1,0,0
584,429,432,727,884,101,5,99999,8330,"0",1,0,0
634,377,517,909,999,119,39,99999,86074,"0",0,0,1
891,559,719,1221,1360,107,20,99999,9656,"1",0,0,1
642,465,475,946,1112,81,47,99999,24690,"1",1,0,0
558,410,412,695,782,143,21,99999,8314,"1",0,1,0
593,402,470,750,819,63,19,99999,10302,"0",1,0,0
634,412,469,790,922,83,20,99999,1916,"0",0,0,1
808,653,673,1039,1107,45,28,99999,43929,"1",0,0,0
593,477,480,843,879,187,19,99999,38013,"0",1,0,0
419,330,349,560,730,59,72,99999,21581,"1",0,0,1
620,422,458,793,829,95,28,99999,36989,"0",0,0,1
744,444,550,1096,1100,35,27,99999,62500,"0",0,0,1
596,461,464,742,903,307,13,99999,2799,"0",0,0,1
640,468,474,911,914,31,46,99999,4050,"0",0,0,1
632,489,492,931,1050,13,37,99999,47759,"0",0,1,0
768,538,569,1132,1360,47,41,99999,315335,"1",0,0,1
643,428,542,801,1139,101,27,99999,8725,"0",0,0,1
667,397,499,861,955,79,18,99999,28525,"0",1,0,0
1025,610,828,1277,1518,27,25,25485,20228,"1",0,1,0
695,425,538,899,1231,69,16,99999,39265,"1",0,1,0
689,515,547,930,1204,17,23,64290,5841,"0",0,0,1
1458,1167,1230,1951,2451,17,24,99999,146551,"1",0,1,0
695,510,514,866,929,29,1,99999,14972,"0",0,0,1
1460,1060,1218,1951,2259,83,6,99999,423895,"1",0,1,0
746,599,627,1015,1019,25,23,69155,1033,"0",0,0,0
1458,1167,1230,1951,2451,600,51,99999,22565,"1",0,0,1
1025,610,828,1277,1518,27,25,69275,8013,"0",1,0,0
689,418,547,869,964,25,26,99999,136146,"1",0,0,1
652,527,540,812,871,139,51,99999,24042,"0",0,0,1
1048,662,794,1305,1707,5,33,29220,813,"0",0,0,1
742,550,587,924,1184,469,48,99999,86793,"1",0,0,1
757,450,572,950,1079,63,1,99999,9045,"0",0,0,0
759,498,577,1118,1344,47,6,99999,255793,"0",0,1,0
794,559,670,1081,1150,27,23,76610,890,"0",0,0,1
868,633,732,1081,1394,57,51,99999,11151,"0",0,0,1
558,419,428,785,854,85,21,99999,25746,"0",0,0,1
847,504,672,1055,1132,15,23,16235,2218,"0",0,0,1
725,485,611,962,1139,45,45,99999,451225,"1",0,0,0
778,605,656,1026,1301,79,45,99999,384504,"1",0,0,1
681,520,572,868,1053,29,23,2970,251,"0",0,0,1
953,567,711,1187,1329,15,9,12130,5132,"0",0,0,0
1328,936,1017,1663,1953,11,50,61675,6918,"1",0,0,1
1513,902,1131,2159,2166,55,6,99999,136484,"1",0,0,1
584,429,432,861,1034,149,5,99999,22185,"0",0,0,0
